"thing","الدَّلْوُ","الدَّلْوَ","الدَّلْوِ","the bucket"
"thing","الْإِبْرَةُ","الْإِبْرَةَ","الْإِبْرَةِ","the needle"
"thing","الْخَيْطُ","الْخَيْطَ","الْخَيْطِ","the thread"
"thing","الْمِسْمَارُ","الْمِسْمَارَ","الْمِسْمَارِ","the nail"
"thing","الْمِطْرَقَةُ","الْمِطْرَقَةَ","الْمِطْرَقَةِ","the hammer"
"thing","الْمِنْشَارُ","الْمِنْشَارَ","الْمِنْشَارِ","the saw"
"thing","السُّلَّمُ","السُّلَّمَ","السُّلَّمِ","the ladder"
"thing","الْمِيزَانُ","الْمِيزَانَ","الْمِيزَانِ","the scale"
"thing","الْقُفْلُ","الْقُفْلَ","الْقُفْلِ","the lock"
"thing","الصِّينِيَّةُ","الصِّينِيَّةَ","الصِّينِيَّةِ","the tray"
"thing","الْإِنَاءُ","الْإِنَاءَ","الْإِنَاءِ","the vessel"
"thing","الْقِدْرُ","الْقِدْرَ","الْقِدْرِ","the pot"
"thing","الشَّوْكَةُ","الشَّوْكَةَ","الشَّوْكَةِ","the fork"
"thing","الْإِبْرِيقُ","الْإِبْرِيقَ","الْإِبْرِيقِ","the pitcher"
"thing","الزَّيْتُ","الزَّيْتَ","الزَّيْتِ","the oil"
"thing","الْعَسَلُ","الْعَسَلَ","الْعَسَلِ","the honey"
"thing","الْجُبْنُ","الْجُبْنَ","الْجُبْنِ","the cheese"
"thing","اللَّحْمُ","اللَّحْمَ","اللَّحْمِ","the meat"
"thing","الْبَيْضُ","الْبَيْضَ","الْبَيْضِ","the eggs"
"thing","السَّمَكُ","السَّمَكَ","السَّمَكِ","the fish"
"thing","التَّمْرُ","التَّمْرَ","التَّمْرِ","the dates"
"thing","الْعِنَبُ","الْعِنَبَ","الْعِنَبِ","the grapes"
"thing","الْعَصِيرُ","الْعَصِيرَ","الْعَصِيرِ","the juice"
"thing","الْقَمِيصُ","الْقَمِيصَ","الْقَمِيصِ","the shirt"
"thing","الْمِعْطَفُ","الْمِعْطَفَ","الْمِعْطَفِ","the coat"
"thing","الْعِمَامَةُ","الْعِمَامَةَ","الْعِمَامَةِ","the turban"
"thing","النَّظَّارَةُ","النَّظَّارَةَ","النَّظَّارَةِ","the eyeglasses"
"thing","الْجِلْدُ","الْجِلْدَ","الْجِلْدِ","the leather"
"thing","الْقُطْنُ","الْقُطْنَ","الْقُطْنِ","the cotton"
"thing","الزُّجَاجُ","الزُّجَاجَ","الزُّجَاجِ","the glass"
"thing","الْوَرَقُ","الْوَرَقَ","الْوَرَقِ","the paper"
"thing","الْحَافِلَةُ","الْحَافِلَةَ","الْحَافِلَةِ","the bus"
"thing","الْقِطَارُ","الْقِطَارَ","الْقِطَارِ","the train"
"thing","الطَّائِرَةُ","الطَّائِرَةَ","الطَّائِرَةِ","the airplane"
"thing","السَّفِينَةُ","السَّفِينَةَ","السَّفِينَةِ","the ship"
"thing","الشَّاحِنَةُ","الشَّاحِنَةَ","الشَّاحِنَةِ","the truck"
"thing","الطَّابِعَةُ","الطَّابِعَةَ","الطَّابِعَةِ","the printer"
"thing","الشَّاشَةُ","الشَّاشَةَ","الشَّاشَةِ","the screen"
"thing","الثَّمَنُ","الثَّمَنَ","الثَّمَنِ","the price"
"thing","الْعَقْدُ","الْعَقْدَ","الْعَقْدِ","the contract"
"thing","الْجَائِزَةُ","الْجَائِزَةَ","الْجَائِزَةِ","the prize"
"thing","الْمُشْكِلَةُ","الْمُشْكِلَةَ","الْمُشْكِلَةِ","the problem"
"thing","الْمَبْلَغُ","الْمَبْلَغَ","الْمَبْلَغِ","the sum"
"thing","الرَّاتِبُ","الرَّاتِبَ","الرَّاتِبِ","the salary"
"place","الْمَتْجَرُ","الْمَتْجَرَ","الْمَتْجَرِ","the store"
"place","الدُّكَّانُ","الدُّكَّانَ","الدُّكَّانِ","the shop"
"place","الْمَخْزَنُ","الْمَخْزَنَ","الْمَخْزَنِ","the warehouse"
"place","الْمَطْبَخُ","الْمَطْبَخَ","الْمَطْبَخِ","the kitchen"
"place","الْمَجْلِسُ","الْمَجْلِسَ","الْمَجْلِسِ","the sitting room"
"place","الْمَمَرُّ","الْمَمَرَّ","الْمَمَرِّ","the corridor"
"place","الْمَدْخَلُ","الْمَدْخَلَ","الْمَدْخَلِ","the entrance"
"place","الْمَخْرَجُ","الْمَخْرَجَ","الْمَخْرَجِ","the exit"
"place","الْفِنَاءُ","الْفِنَاءَ","الْفِنَاءِ","the courtyard"
"place","الشُّرْفَةُ","الشُّرْفَةَ","الشُّرْفَةِ","the balcony"
"place","الْبُسْتَانُ","الْبُسْتَانَ","الْبُسْتَانِ","the orchard"
"place","الْحَقْلُ","الْحَقْلَ","الْحَقْلِ","the field"
"place","الْغَابَةُ","الْغَابَةَ","الْغَابَةِ","the forest"
"place","النَّفَقُ","النَّفَقَ","النَّفَقِ","the tunnel"
"place","الْمَوْقِفُ","الْمَوْقِفَ","الْمَوْقِفِ","the parking lot"
"place","الرَّوْضَةُ","الرَّوْضَةَ","الرَّوْضَةِ","the kindergarten"
"place","الْقَاعَةُ","الْقَاعَةَ","الْقَاعَةِ","the hall"
"place","الْمُدَرَّجُ","الْمُدَرَّجَ","الْمُدَرَّجِ","the lecture hall"
"place","الْمَعْرِضُ","الْمَعْرِضَ","الْمَعْرِضِ","the exhibition"
"place","الْمَحْكَمَةُ","الْمَحْكَمَةَ","الْمَحْكَمَةِ","the courthouse"
"place","الشَّرِكَةُ","الشَّرِكَةَ","الشَّرِكَةِ","the company"
"place","الْمُؤَسَّسَةُ","الْمُؤَسَّسَةَ","الْمُؤَسَّسَةِ","the institution"
"place","الْجَمْعِيَّةُ","الْجَمْعِيَّةَ","الْجَمْعِيَّةِ","the association"
"place","الضَّاحِيَةُ","الضَّاحِيَةَ","الضَّاحِيَةِ","the suburb"
"place","الْعَاصِمَةُ","الْعَاصِمَةَ","الْعَاصِمَةِ","the capital"
"place","الْمَسْكَنُ","الْمَسْكَنَ","الْمَسْكَنِ","the residence"
"place","الْحِصْنُ","الْحِصْنَ","الْحِصْنِ","the fortress"
"place","الْبُرْجُ","الْبُرْجَ","الْبُرْجِ","the tower"
"place","الْمُنْتَزَهُ","الْمُنْتَزَهَ","الْمُنْتَزَهِ","the park"
"place","الزُّقَاقُ","الزُّقَاقَ","الزُّقَاقِ","the alley"
"place","الصَّالَةُ","الصَّالَةَ","الصَّالَةِ","the lounge"
"place","الْمَقْصِفُ","الْمَقْصِفَ","الْمَقْصِفِ","the canteen"
"place","الْوِلَايَةُ","الْوِلَايَةَ","الْوِلَايَةِ","the province"
"place","الْمِحْرَابُ","الْمِحْرَابَ","الْمِحْرَابِ","the prayer niche"
"place","الْمِينَاءُ","الْمِينَاءَ","الْمِينَاءِ","the harbor"
"place","الْإِقْلِيمُ","الْإِقْلِيمَ","الْإِقْلِيمِ","the region"
"place","الْمَرْصَدُ","الْمَرْصَدَ","الْمَرْصَدِ","the observatory"
"place","الْمَسْبَحُ","الْمَسْبَحَ","الْمَسْبَحِ","the swimming pool"
"place","الْمَجْمَعُ","الْمَجْمَعَ","الْمَجْمَعِ","the complex"
"place","الْمَطْبَعَةُ","الْمَطْبَعَةَ","الْمَطْبَعَةِ","the printing house"
"broken plural (human)","الْأَوْلَادُ","الْأَوْلَادَ","الْأَوْلَادِ","the boys"
"broken plural (human)","الْإِخْوَانُ","الْإِخْوَانَ","الْإِخْوَانِ","the brothers"
"broken plural (human)","الْمُلُوكُ","الْمُلُوكَ","الْمُلُوكِ","the kings"
"broken plural (human)","الْجُنُودُ","الْجُنُودَ","الْجُنُودِ","the soldiers"
"broken plural (human)","الشُّيُوخُ","الشُّيُوخَ","الشُّيُوخِ","the shaykhs"
"broken plural (human)","الْقُضَاةُ","الْقُضَاةَ","الْقُضَاةِ","the judges"
"broken plural (human)","الْأَئِمَّةُ","الْأَئِمَّةَ","الْأَئِمَّةِ","the imams"
"broken plural (human)","السُّكَّانُ","السُّكَّانَ","السُّكَّانِ","the residents"
"broken plural (thing)","الْأَوْرَاقُ","الْأَوْرَاقَ","الْأَوْرَاقِ","the papers"
"broken plural (thing)","الْعُلُومُ","الْعُلُومَ","الْعُلُومِ","the sciences"
"broken plural (thing)","الْفُنُونُ","الْفُنُونَ","الْفُنُونِ","the arts"
"broken plural (thing)","الْأَقْوَالُ","الْأَقْوَالَ","الْأَقْوَالِ","the statements"
"broken plural (thing)","الْآرَاءُ","الْآرَاءَ","الْآرَاءِ","the opinions"
"broken plural (thing)","الْأَدِلَّةُ","الْأَدِلَّةَ","الْأَدِلَّةِ","the proofs"
"broken plural (thing)","الْأَحْكَامُ","الْأَحْكَامَ","الْأَحْكَامِ","the rulings"
"broken plural (thing)","الْأَخْبَارُ","الْأَخْبَارَ","الْأَخْبَارِ","the news reports"
"broken plural (thing)","الصُّوَرُ","الصُّوَرَ","الصُّوَرِ","the pictures"
"broken plural (thing)","الْجُسُورُ","الْجُسُورَ","الْجُسُورِ","the bridges"
"broken plural (thing)","الْأَطْعِمَةُ","الْأَطْعِمَةَ","الْأَطْعِمَةِ","the foods"
"broken plural (thing)","الْحُقُوقُ","الْحُقُوقَ","الْحُقُوقِ","the rights"
"broken plural (thing)","الْأَعْمَالُ","الْأَعْمَالَ","الْأَعْمَالِ","the deeds"
"broken plural (thing)","الْأَسْمَاءُ","الْأَسْمَاءَ","الْأَسْمَاءِ","the nouns"
"broken plural (thing)","الْأَفْعَالُ","الْأَفْعَالَ","الْأَفْعَالِ","the verbs"
"dual","الْمُهَنْدِسَانِ","الْمُهَنْدِسَيْنِ","الْمُهَنْدِسَيْنِ","the two engineers"
"dual","الْعَامِلَانِ","الْعَامِلَيْنِ","الْعَامِلَيْنِ","the two workers"
"dual","الْبَاحِثَانِ","الْبَاحِثَيْنِ","الْبَاحِثَيْنِ","the two researchers"
"dual","السَّائِقَانِ","السَّائِقَيْنِ","السَّائِقَيْنِ","the two drivers"
"dual","الْمُسْلِمَانِ","الْمُسْلِمَيْنِ","الْمُسْلِمَيْنِ","the two Muslim men"
"dual","الدَّفْتَرَانِ","الدَّفْتَرَيْنِ","الدَّفْتَرَيْنِ","the two notebooks"
"dual","الْكُرْسِيَّانِ","الْكُرْسِيَّيْنِ","الْكُرْسِيَّيْنِ","the two chairs"
"dual","الصُّنْدُوقَانِ","الصُّنْدُوقَيْنِ","الصُّنْدُوقَيْنِ","the two boxes"
"dual","الْمِصْبَاحَانِ","الْمِصْبَاحَيْنِ","الْمِصْبَاحَيْنِ","the two lamps"
"dual","الطَّاوِلَتَانِ","الطَّاوِلَتَيْنِ","الطَّاوِلَتَيْنِ","the two tables"
"dual","الْمِفْتَاحَانِ","الْمِفْتَاحَيْنِ","الْمِفْتَاحَيْنِ","the two keys"
"sound masculine plural","الصَّابِرُونَ","الصَّابِرِينَ","الصَّابِرِينَ","the patient men"
"sound masculine plural","الْمُتَعَلِّمُونَ","الْمُتَعَلِّمِينَ","الْمُتَعَلِّمِينَ","the learners"
"sound masculine plural","الْمُدَرِّسُونَ","الْمُدَرِّسِينَ","الْمُدَرِّسِينَ","the instructors"
"sound masculine plural","الْمُوَظَّفُونَ","الْمُوَظَّفِينَ","الْمُوَظَّفِينَ","the employees"
"sound masculine plural","الْمُشْرِفُونَ","الْمُشْرِفِينَ","الْمُشْرِفِينَ","the supervisors"
"sound masculine plural","الْمُتَرْجِمُونَ","الْمُتَرْجِمِينَ","الْمُتَرْجِمِينَ","the translators"
"sound masculine plural","الْمُهَاجِرُونَ","الْمُهَاجِرِينَ","الْمُهَاجِرِينَ","the emigrants"
"sound masculine plural","الْمُؤَلِّفُونَ","الْمُؤَلِّفِينَ","الْمُؤَلِّفِينَ","the authors"
"sound feminine plural","الْمُؤْمِنَاتُ","الْمُؤْمِنَاتِ","الْمُؤْمِنَاتِ","the believing women"
"sound feminine plural","الصَّالِحَاتُ","الصَّالِحَاتِ","الصَّالِحَاتِ","the righteous women"
"sound feminine plural","الصَّادِقَاتُ","الصَّادِقَاتِ","الصَّادِقَاتِ","the truthful women"
"sound feminine plural","الْمُتَعَلِّمَاتُ","الْمُتَعَلِّمَاتِ","الْمُتَعَلِّمَاتِ","the female learners"
"sound feminine plural","الْمُدَرِّسَاتُ","الْمُدَرِّسَاتِ","الْمُدَرِّسَاتِ","the female instructors"
"sound feminine plural","الْمُوَظَّفَاتُ","الْمُوَظَّفَاتِ","الْمُوَظَّفَاتِ","the female employees"
"sound feminine plural","الْمُتَرْجِمَاتُ","الْمُتَرْجِمَاتِ","الْمُتَرْجِمَاتِ","the female translators"
"sound feminine plural","الْأُمَّهَاتُ","الْأُمَّهَاتِ","الْأُمَّهَاتِ","the mothers"
"predicate","سَعِيدٌ","سَعِيدًا","","joyful"
"predicate","حَزِينٌ","حَزِينًا","","sad"
"predicate","تَعِبٌ","تَعِبًا","","tired"
"predicate","جَائِعٌ","جَائِعًا","","hungry"
"predicate","نَائِمٌ","نَائِمًا","","asleep"
"predicate","مُسْتَيْقِظٌ","مُسْتَيْقِظًا","","awake"
"predicate","جَالِسٌ","جَالِسًا","","seated"
"predicate","مُسْتَقِيمٌ","مُسْتَقِيمًا","","upright"
"predicate","غَائِبٌ","غَائِبًا","","absent"
"predicate","مُنْتَظَرٌ","مُنْتَظَرًا","","awaited"
"predicate","مُقِيمٌ","مُقِيمًا","","resident"
"predicate","زَائِرٌ","زَائِرًا","","a visitor"
"predicate","مُتَعَاوِنٌ","مُتَعَاوِنًا","","cooperative"
"predicate","بَعِيدٌ","بَعِيدًا","","far away"
"predicate","ضَعِيفٌ","ضَعِيفًا","","weak"
"predicate","بَطِيءٌ","بَطِيئًا","","slow"
"predicate","صَحِيحٌ","صَحِيحًا","","healthy"
"predicate","صَغِيرٌ","صَغِيرًا","","young"
"predicate","كَبِيرٌ","كَبِيرًا","","elderly"
"predicate","بَالِغٌ","بَالِغًا","","mature"
"predicate","مُتَزَوِّجٌ","مُتَزَوِّجًا","","married"
"predicate","مُتَفَرِّغٌ","مُتَفَرِّغًا","","free"
"predicate","نَاجِحٌ","نَاجِحًا","","successful"
"predicate","مُتَمَيِّزٌ","مُتَمَيِّزًا","","outstanding"
"predicate","مُبَارَكٌ","مُبَارَكًا","","blessed"
"predicate","مُطِيعٌ","مُطِيعًا","","obedient"
"predicate","مُحْتَرَمٌ","مُحْتَرَمًا","","respected"
"predicate","مَسْؤُولٌ","مَسْؤُولًا","","responsible"
"predicate","مُتَفَائِلٌ","مُتَفَائِلًا","","optimistic"
"predicate","مُتَشَائِمٌ","مُتَشَائِمًا","","pessimistic"
"predicate","وَاثِقٌ","وَاثِقًا","","confident"
"predicate","حَازِمٌ","حَازِمًا","","decisive"
"predicate","مُهْمِلٌ","مُهْمِلًا","","negligent"
"predicate","دَقِيقٌ","دَقِيقًا","","precise"
"predicate","مُتْقِنٌ","مُتْقِنًا","","meticulous"
"predicate","بَلِيغٌ","بَلِيغًا","","articulate"
"predicate","مُتَحَمِّسٌ","مُتَحَمِّسًا","","enthusiastic"
"predicate","مُنْتَبِهٌ","مُنْتَبِهًا","","attentive"
"predicate","مُتَرَدِّدٌ","مُتَرَدِّدًا","","hesitant"
"predicate","مُخْطِئٌ","مُخْطِئًا","","mistaken"
"predicate","بَرِيءٌ","بَرِيئًا","","innocent"
"predicate","مُحْسِنٌ","مُحْسِنًا","","benevolent"
"predicate","ظَالِمٌ","ظَالِمًا","","unjust"
"predicate","قَانِعٌ","قَانِعًا","","content"
"predicate","بَخِيلٌ","بَخِيلًا","","stingy"
"predicate","خَجُولٌ","خَجُولًا","","shy"
"predicate","جَرِيءٌ","جَرِيئًا","","bold"
"predicate","رَحِيمٌ","رَحِيمًا","","merciful"
"predicate","حَنُونٌ","حَنُونًا","","affectionate"
"predicate","حَلِيمٌ","حَلِيمًا","","forbearing"
"predicate","عَجُولٌ","عَجُولًا","","hasty"
"predicate","وَقُورٌ","وَقُورًا","","dignified"
"predicate","سَاكِتٌ","سَاكِتًا","","silent"
"predicate","مُتَأَخِّرٌ","مُتَأَخِّرًا","","late"
"predicate","جَاهِلٌ","جَاهِلًا","","ignorant"
"predicate","غَاضِبٌ","غَاضِبًا","","angry"
"predicate","قَلِقٌ","قَلِقًا","","anxious"
"predicate","خَائِفٌ","خَائِفًا","","afraid"
"predicate","عَابِدٌ","عَابِدًا","","devout"
"predicate","مُهَذَّبٌ","مُهَذَّبًا","","well-mannered"

"category","arabic_past","arabic_present","english_infinitive","english_3ms","english_past","object_group"
"verb","أَرْشَدَ","يُرْشِدُ","guide","guides","guided","people"
"verb","وَجَّهَ","يُوَجِّهُ","direct","directs","directed","people"
"verb","لَقَّنَ","يُلَقِّنُ","instruct","instructs","instructed","people"
"verb","أَدَّبَ","يُؤَدِّبُ","discipline","disciplines","disciplined","people"
"verb","كَافَأَ","يُكَافِئُ","reward","rewards","rewarded","people"
"verb","عَاقَبَ","يُعَاقِبُ","punish","punishes","punished","people"
"verb","اِسْتَشَارَ","يَسْتَشِيرُ","consult","consults","consulted","people"
"verb","خَاطَبَ","يُخَاطِبُ","speak to","speaks to","spoke to","people"
"verb","وَدَّعَ","يُوَدِّعُ","bid farewell to","bids farewell to","bade farewell to","people"
"verb","اِنْتَظَرَ","يَنْتَظِرُ","wait for","waits for","waited for","people"
"verb","صَافَحَ","يُصَافِحُ","shake hands with","shakes hands with","shook hands with","people"
"verb","عَانَقَ","يُعَانِقُ","embrace","embraces","embraced","people"
"verb","مَدَحَ","يَمْدَحُ","praise","praises","praised","people"
"verb","جَالَسَ","يُجَالِسُ","sit with","sits with","sat with","people"
"verb","دَعَمَ","يَدْعَمُ","support","supports","supported","people"
"verb","خَدَمَ","يَخْدُمُ","serve","serves","served","people"
"verb","أَطَاعَ","يُطِيعُ","obey","obeys","obeyed","people"
"verb","أَعَانَ","يُعِينُ","aid","aids","aided","people"
"verb","عَيَّنَ","يُعَيِّنُ","appoint","appoints","appointed","people"
"verb","رَشَّحَ","يُرَشِّحُ","nominate","nominates","nominated","people"
"verb","اِنْتَخَبَ","يَنْتَخِبُ","elect","elects","elected","people"
"verb","مَثَّلَ","يُمَثِّلُ","represent","represents","represented","people"
"verb","أَبْلَغَ","يُبْلِغُ","notify","notifies","notified","people"
